date,temperature,humidity,precipitation,wind_speed,disease_0,disease_1,disease_2,disease_3,disease_4,disease_5,disease_6,disease_7,disease_8,disease_9
2011-09-13,25.85,66.04,10.43,14.91,0,0,0,0,0,0,0,0,0,0
2011-09-14,31.18,64.56,10.9,6.63,0,0,0,0,0,0,0,0,0,0
2011-09-15,28.77,60.69,7.15,23.0,0,0,0,0,0,0,0,0,0,0
2011-09-16,21.1,74.02,19.36,9.76,0,0,0,0,0,0,0,0,0,0
2011-09-17,19.3,70.33,10.9,13.83,0,0,0,0,0,0,0,0,0,0
2011-09-18,22.46,71.24,9.78,14.38,0,0,0,0,0,0,0,0,0,0
2011-09-19,30.76,67.5,39.0,16.34,0,0,0,0,0,0,0,0,0,0
2011-09-20,17.09,76.21,19.23,9.98,0,0,0,0,0,0,0,0,0,0
2011-09-21,30.75,85.12,17.54,11.89,0,0,0,0,0,0,0,0,0,0
2011-09-22,27.12,53.26,16.18,4.66,0,0,0,0,0,0,0,0,0,0
2011-09-23,27.73,70.04,18.31,9.33,1,0,1,0,0,1,0,0,0,0
2011-09-24,25.1,81.16,9.67,8.93,0,0,0,0,0,0,0,0,0,0
2011-09-25,26.18,85.89,24.47,10.12,0,0,0,1,1,0,0,1,0,0
2011-09-26,31.67,74.51,7.15,0.3,0,0,0,0,0,0,0,0,0,0
2011-09-27,24.96,74.25,7.13,8.17,0,0,0,0,0,0,0,0,0,0
2011-09-28,24.84,67.01,12.67,8.45,0,0,0,0,0,0,0,0,0,0
2011-09-29,22.37,79.49,7.15,6.73,0,0,0,0,0,0,0,0,0,0
2011-09-30,23.78,75.05,9.29,13.09,0,0,0,0,0,0,0,0,0,0
2011-10-01,25.66,60.63,12.88,10.61,0,0,0,0,0,0,0,0,0,0
2011-10-02,21.43,68.4,9.03,12.29,0,0,0,0,0,0,0,0,0,0
2011-10-03,27.59,74.08,14.81,7.32,0,0,0,0,0,0,0,1,1,1
2011-10-04,29.0,79.61,14.14,7.12,0,0,0,0,0,0,0,0,0,0
2011-10-05,31.17,79.67,95.81,10.11,0,0,0,0,0,0,0,0,0,0
2011-10-06,27.34,63.01,26.22,3.53,0,0,0,1,0,0,1,0,0,0
2011-10-07,30.76,79.27,15.67,11.45,0,0,0,0,0,0,0,0,0,0
2011-10-08,25.87,61.31,16.27,13.98,0,0,0,0,0,0,0,0,0,0
2011-10-09,27.81,70.3,11.63,1.9,0,0,0,0,0,0,0,0,0,0
2011-10-10,19.7,80.87,60.63,8.64,0,0,0,0,0,0,0,0,0,0
2011-10-11,25.87,75.67,17.7,10.8,0,1,0,1,1,0,0,0,0,0
2011-10-12,17.31,76.36,11.49,10.49,0,0,0,0,0,0,0,0,0,0
2011-10-13,21.63,70.1,13.28,6.31,0,0,0,0,0,0,0,0,0,0
2011-10-14,18.63,72.57,9.49,19.01,0,0,0,0,0,0,0,1,0,0
2011-10-15,24.35,87.75,36.16,10.18,0,0,0,0,0,0,0,0,0,0
2011-10-16,29.37,67.09,24.16,13.75,0,0,0,0,0,0,0,0,0,0
2011-10-17,24.08,71.02,11.88,13.64,1,0,0,1,0,0,0,1,0,0
2011-10-18,34.21,67.69,8.62,14.72,0,0,0,0,0,0,0,0,0,0
2011-10-19,25.94,59.81,14.75,6.16,0,0,0,0,0,0,0,0,0,0
2011-10-20,27.53,75.59,8.76,7.67,0,0,0,0,0,0,0,0,0,0
2011-10-21,33.56,68.68,36.64,8.94,0,0,0,0,0,0,0,0,0,0
2011-10-22,19.33,81.16,50.19,13.84,0,0,0,1,0,0,0,0,0,0
2011-10-23,29.94,75.75,27.24,4.42,0,1,0,1,0,0,0,0,0,0
2011-10-24,28.21,86.07,12.57,11.69,0,0,0,0,0,0,0,0,0,0
2011-10-25,28.64,65.58,22.86,14.83,0,0,0,1,0,0,0,0,0,0
2011-10-26,30.46,65.99,15.19,4.01,0,0,0,0,0,0,0,0,0,0
2011-10-27,23.41,82.2,18.86,5.34,0,1,0,1,0,0,1,0,0,0
2011-10-28,32.51,73.54,9.3,15.29,0,0,0,0,0,0,0,0,0,0
2011-10-29,31.55,68.97,8.35,8.75,0,0,0,0,0,0,0,0,0,0
2011-10-30,23.64,80.81,21.44,6.3,0,0,0,0,0,0,0,0,0,0
2011-10-31,22.92,63.36,23.47,1.99,0,0,0,0,0,0,0,0,0,0
2011-11-01,24.58,73.08,8.16,2.8,0,0,0,0,1,0,0,1,1,0
2011-11-02,19.3,74.18,21.33,0.65,0,1,0,0,0,1,0,1,0,0
2011-11-03,33.9,66.4,10.43,5.96,0,0,0,0,0,0,0,0,0,0
2011-11-04,21.76,89.93,72.9,12.49,0,0,0,0,0,0,0,0,0,0
2011-11-05,23.49,49.78,11.62,15.39,0,0,1,0,0,1,0,0,0,0
2011-11-06,28.26,69.26,17.41,11.24,0,0,0,0,0,0,0,0,0,0
2011-11-07,34.62,69.66,17.15,7.33,0,0,0,1,0,0,0,0,0,0
2011-11-08,24.51,55.01,26.7,0.0,0,0,1,0,0,0,0,0,0,0
2011-11-09,16.06,74.85,18.59,12.09,0,1,0,0,0,1,0,0,0,0
2011-11-10,16.62,73.65,15.88,8.64,0,0,0,0,0,0,0,0,0,0
2011-11-11,29.47,56.05,18.37,5.18,1,0,0,0,0,0,0,0,0,0
2011-11-12,35.0,82.4,11.89,12.28,0,0,0,0,0,0,0,0,0,0
2011-11-13,21.44,55.26,27.7,6.34,0,0,0,0,0,0,0,0,0,0
2011-11-14,26.18,70.18,10.28,9.25,0,0,0,0,0,0,0,0,0,0
2011-11-15,25.93,68.57,14.3,12.03,0,0,0,0,0,0,0,0,0,0
2011-11-16,28.23,85.63,20.3,0.0,0,0,0,0,0,0,0,0,0,0
2011-11-17,28.12,67.42,13.02,9.61,0,0,0,0,0,0,0,0,0,0
2011-11-18,34.28,67.61,13.44,10.98,0,0,0,0,0,0,0,0,0,0
2011-11-19,21.19,79.06,20.16,7.99,0,0,0,1,1,0,1,0,0,0
2011-11-20,23.85,64.52,18.69,14.84,0,0,0,0,0,0,0,0,0,0
2011-11-21,32.56,75.31,43.65,1.25,0,0,0,0,0,0,0,0,0,0
2011-11-22,32.77,79.28,12.3,6.27,0,0,0,0,0,0,0,0,0,0
2011-11-23,22.02,50.37,47.91,11.72,1,0,1,0,0,0,1,0,0,0
2011-11-24,29.38,91.65,48.79,13.41,0,0,0,0,0,0,0,0,0,0
2011-11-25,31.17,67.7,13.5,12.17,0,0,0,0,0,0,0,0,0,0
2011-11-26,30.75,67.33,24.25,7.61,0,0,0,0,0,0,0,0,0,0
2011-11-27,24.35,83.71,17.29,7.29,0,1,0,0,0,0,0,1,0,0
2011-11-28,28.04,63.01,9.22,12.59,0,0,0,0,0,0,1,0,0,0
2011-11-29,27.34,73.11,16.2,12.19,0,0,1,0,0,0,0,0,0,0
2011-11-30,32.84,71.21,37.36,8.77,0,0,0,0,0,0,0,1,0,0
2011-12-01,21.79,65.18,16.78,17.38,0,0,0,0,0,0,0,0,0,0
2011-12-02,17.0,71.96,34.12,19.85,0,0,0,0,0,0,0,0,0,0
2011-12-03,30.91,84.58,10.67,6.46,0,0,0,0,0,0,0,0,0,0
2011-12-04,29.44,77.1,8.69,24.86,0,0,0,0,1,0,1,0,0,0
2011-12-05,19.29,71.85,10.29,15.9,0,1,0,0,0,0,0,0,0,1
2011-12-06,28.01,81.15,28.02,13.58,0,0,1,0,1,0,0,0,0,0
2011-12-07,19.67,70.07,36.02,6.6,0,0,0,0,0,0,0,0,1,0
2011-12-08,24.66,77.14,10.61,6.26,0,0,0,0,0,0,0,0,0,0
2011-12-09,26.9,70.42,15.23,4.47,0,0,0,0,0,0,0,0,0,0
2011-12-10,18.22,83.59,13.01,4.31,0,0,0,0,0,0,0,0,0,0
2011-12-11,32.2,50.49,12.58,8.4,0,1,0,0,0,0,0,0,0,0
2011-12-12,26.34,63.03,11.31,7.5,0,0,0,0,0,0,0,0,0,0
2011-12-13,23.71,67.41,65.89,7.73,0,0,0,0,0,0,0,0,0,0
2011-12-14,16.18,74.53,12.37,11.43,0,0,0,0,0,0,0,0,0,0
2011-12-15,25.87,61.93,24.37,11.55,0,0,0,0,0,0,0,0,0,0
2011-12-16,23.26,63.2,30.0,8.06,0,0,0,0,0,0,0,0,0,0
2011-12-17,15.0,70.91,13.47,9.89,0,1,1,0,0,0,1,0,0,0
2011-12-18,19.42,78.02,34.47,9.48,0,1,0,0,0,1,1,0,0,0
2011-12-19,21.93,75.46,28.99,17.14,0,0,0,0,0,0,0,0,0,0
2011-12-20,29.9,73.7,32.31,12.02,0,0,0,0,0,0,0,0,0,0
2011-12-21,19.28,67.58,18.34,20.98,0,0,0,0,0,0,0,0,0,0
2011-12-22,16.65,71.99,10.6,9.27,0,0,0,0,0,0,0,0,0,0
2011-12-23,30.49,68.59,30.82,16.72,0,0,0,0,0,0,0,0,0,0
2011-12-24,25.63,70.22,23.71,10.71,0,0,0,0,1,0,0,0,0,0
2011-12-25,24.91,72.02,38.11,7.58,0,0,0,0,0,0,0,0,0,0
2011-12-26,32.02,91.41,13.83,9.25,0,0,0,1,0,0,0,0,0,0
2011-12-27,19.99,78.44,23.18,18.57,0,0,0,0,0,0,0,0,0,0
2011-12-28,35.0,85.56,10.29,4.83,0,1,1,0,0,0,0,1,0,0
2011-12-29,22.5,75.61,19.69,21.06,0,1,0,0,0,0,0,0,1,0
2011-12-30,30.47,67.36,9.96,5.91,0,0,0,0,0,0,0,0,0,0
2011-12-31,28.32,73.38,18.02,2.61,0,0,0,0,0,0,0,0,1,0
2012-01-01,24.46,56.89,21.84,13.87,0,0,0,0,0,0,0,0,0,0
2012-01-02,35.0,77.72,25.39,11.67,0,0,0,0,0,1,0,1,0,0
2012-01-03,19.45,75.09,19.76,10.46,0,0,0,0,1,0,0,1,0,0
2012-01-04,18.15,77.03,10.53,16.58,0,0,0,0,0,0,0,0,0,0
2012-01-05,23.86,46.28,12.88,7.59,0,0,0,0,0,0,0,0,0,0
2012-01-06,30.18,80.69,39.66,13.32,0,0,0,0,0,0,0,0,0,0
2012-01-07,28.93,70.71,30.84,10.48,1,0,0,0,0,0,1,0,0,0
2012-01-08,25.83,64.07,27.85,10.48,0,0,0,0,0,0,0,0,0,0
2012-01-09,25.31,63.96,26.5,9.79,0,0,0,0,0,0,0,0,0,0
2012-01-10,20.03,65.95,12.92,17.44,0,0,0,0,0,0,0,0,0,0
2012-01-11,28.84,69.66,51.36,13.63,0,0,0,0,0,1,0,1,0,0
2012-01-12,31.73,78.86,43.99,5.87,0,0,0,0,0,0,0,0,0,0
2012-01-13,27.6,63.44,16.79,3.67,0,0,0,0,0,0,0,0,0,0
2012-01-14,29.45,72.07,14.91,16.89,0,0,0,0,0,0,0,0,0,0
2012-01-15,25.36,61.87,24.14,13.69,0,1,0,0,0,0,0,0,0,1
2012-01-16,30.48,59.22,30.2,13.05,0,0,0,0,0,0,0,0,0,0
2012-01-17,24.16,55.99,44.48,15.48,0,0,0,0,0,0,0,0,0,0
2012-01-18,15.0,72.33,12.77,12.59,0,0,0,0,0,1,0,0,0,0
2012-01-19,23.9,85.4,42.35,7.88,0,0,0,0,0,0,0,0,0,0
2012-01-20,27.86,54.68,21.2,6.18,0,0,0,0,0,0,0,0,0,0
2012-01-21,28.46,81.96,45.72,23.04,0,0,0,0,0,1,0,1,0,0
2012-01-22,26.48,78.13,65.81,5.01,0,0,0,0,0,0,0,0,0,0
2012-01-23,19.91,71.8,28.94,6.6,0,0,0,0,0,0,0,0,0,0
2012-01-24,15.0,68.29,24.78,13.84,0,0,0,0,0,0,0,0,0,0
2012-01-25,34.28,82.79,33.15,17.78,0,0,0,0,0,0,0,0,0,0
2012-01-26,25.24,57.95,48.88,9.55,0,0,0,0,0,0,0,0,0,0
2012-01-27,21.48,67.97,28.93,8.75,0,0,0,0,0,0,0,0,0,0
2012-01-28,19.39,56.82,26.98,8.49,0,0,0,0,0,0,0,0,0,0
2012-01-29,24.64,55.55,30.57,18.69,0,0,0,0,1,0,0,0,0,0
2012-01-30,29.42,87.55,25.13,9.86,0,0,0,0,0,0,0,0,0,0
2012-01-31,26.33,61.38,58.13,8.37,0,0,0,0,0,0,0,0,0,0
2012-02-01,32.4,65.29,37.54,8.4,0,0,0,0,0,0,0,0,0,0
2012-02-02,33.09,55.12,12.1,9.62,0,0,0,0,0,0,0,0,0,0
2012-02-03,24.44,72.12,11.79,17.83,0,0,0,0,0,0,0,0,0,0
2012-02-04,24.44,63.96,28.21,9.43,0,0,0,0,0,0,0,0,0,0
2012-02-05,29.53,67.22,10.21,11.45,0,0,0,0,0,0,0,0,0,0
2012-02-06,26.42,59.85,45.15,13.56,0,0,0,0,0,0,0,0,0,0
2012-02-07,25.89,63.87,26.37,7.33,0,0,0,0,0,0,0,0,0,0
2012-02-08,35.0,65.4,19.5,13.08,0,0,0,0,0,0,1,0,0,0
2012-02-09,24.27,76.87,27.05,13.02,0,0,0,0,0,0,0,0,0,0
2012-02-10,20.84,61.67,23.31,10.05,0,0,0,0,0,1,1,0,1,0
2012-02-11,29.15,78.86,24.39,9.81,0,0,0,0,0,0,0,0,0,0
2012-02-12,34.5,71.49,22.62,10.21,0,0,0,0,0,0,0,0,0,0
2012-02-13,24.3,66.51,35.19,13.75,0,0,0,0,0,0,0,0,0,0
2012-02-14,17.07,59.13,57.03,14.96,0,1,0,0,0,0,0,0,0,1
2012-02-15,20.31,57.17,12.69,6.25,0,0,0,0,0,0,0,0,0,0
2012-02-16,28.68,75.51,11.55,9.85,0,0,0,0,0,0,0,0,0,0
2012-02-17,24.95,72.65,24.17,4.69,0,0,0,0,0,0,0,0,0,0
2012-02-18,29.02,71.74,20.73,9.47,0,0,0,0,0,0,0,0,0,0
2012-02-19,25.79,73.41,57.42,0.94,0,0,0,0,0,0,0,0,0,0
2012-02-20,27.68,74.2,28.03,11.9,0,0,1,0,0,0,0,1,1,0
2012-02-21,21.02,59.9,32.74,12.34,0,0,0,0,0,0,0,0,0,0
2012-02-22,21.23,75.81,15.96,16.94,0,0,0,0,0,0,0,0,0,1
2012-02-23,28.99,73.79,33.7,9.79,0,0,1,0,1,1,0,0,0,0
2012-02-24,19.55,63.17,20.5,8.37,0,0,0,0,0,0,0,0,0,0
2012-02-25,19.2,66.74,56.22,9.9,0,1,0,0,1,1,0,0,0,0
2012-02-26,20.63,93.5,28.58,5.42,0,0,0,0,0,0,0,0,0,0
2012-02-27,31.08,78.13,12.6,6.89,0,0,0,0,0,0,0,0,0,0
2012-02-28,27.78,68.49,25.35,11.5,0,0,0,0,0,0,0,0,0,0
2012-02-29,21.17,58.47,20.92,18.48,0,0,1,0,0,0,0,0,0,0
2012-03-01,23.71,69.49,17.32,15.19,0,0,0,0,0,0,0,0,0,0
2012-03-02,31.83,56.58,15.8,14.48,0,0,0,0,0,0,0,0,0,0
2012-03-03,26.61,77.51,13.62,9.3,0,0,0,0,0,0,0,0,0,0
2012-03-04,29.59,74.8,39.59,10.68,0,0,0,0,0,0,0,0,0,0
2012-03-05,29.97,68.77,52.77,13.36,0,0,0,0,0,1,0,0,1,0
2012-03-06,20.23,61.94,13.19,10.88,0,0,0,0,0,0,0,0,0,0
2012-03-07,29.11,61.52,16.11,0.91,0,0,0,0,0,0,0,0,0,0
2012-03-08,21.88,70.71,19.54,16.5,0,0,0,0,0,0,0,0,0,0
2012-03-09,31.87,68.1,20.11,4.86,0,0,0,0,0,0,0,1,0,0
2012-03-10,33.78,66.54,24.93,10.23,0,0,0,0,0,0,0,0,0,0
2012-03-11,18.29,65.88,13.99,8.15,0,0,0,0,0,0,0,0,0,0
2012-03-12,18.55,64.78,47.58,3.64,0,0,0,0,0,0,0,0,1,0
2012-03-13,15.0,59.97,32.85,14.42,0,0,0,1,0,0,1,0,0,1
2012-03-14,27.37,76.64,17.46,12.94,0,0,0,0,0,0,0,0,0,0
2012-03-15,22.99,66.98,82.6,8.08,0,0,0,0,0,0,0,0,0,0
2012-03-16,33.5,60.64,13.34,10.69,0,0,0,0,1,0,0,0,0,0
2012-03-17,21.72,84.28,14.26,7.94,1,0,0,0,0,0,0,0,0,0
2012-03-18,20.87,69.06,26.3,15.78,0,0,0,0,0,0,0,0,0,0
2012-03-19,35.0,59.06,74.32,12.15,0,0,0,0,0,0,0,0,0,0
2012-03-20,30.06,62.25,16.55,0.0,0,1,1,0,0,0,0,0,0,0
2012-03-21,20.6,72.58,25.21,4.05,0,0,0,0,0,0,0,0,0,0
2012-03-22,22.93,81.57,17.88,9.87,0,0,0,0,0,0,0,0,0,0
2012-03-23,29.03,79.95,14.31,9.07,0,0,1,0,0,0,0,0,0,0
2012-03-24,35.0,66.9,31.23,17.7,0,0,0,0,0,0,0,0,0,0
2012-03-25,15.0,88.98,25.12,6.01,0,0,0,0,0,0,0,0,0,0
2012-03-26,22.86,52.73,12.83,2.43,0,1,1,0,0,1,0,0,0,0
2012-03-27,25.02,56.51,18.26,4.47,0,1,0,0,0,0,1,0,0,0
2012-03-28,26.2,72.14,21.2,17.17,0,0,0,0,0,0,0,0,0,0
2012-03-29,25.51,68.57,36.96,13.91,0,0,0,0,0,1,0,1,1,0
2012-03-30,21.85,60.98,46.31,13.0,0,0,0,0,0,0,0,0,0,0
2012-03-31,23.08,63.4,54.7,9.88,0,0,0,0,0,0,0,0,0,0
2012-04-01,26.36,69.6,14.49,6.48,0,0,0,0,0,0,0,0,0,0
2012-04-02,31.03,77.43,45.69,15.05,0,0,0,0,0,0,0,0,0,0
2012-04-03,29.87,74.93,52.55,15.31,0,1,0,0,1,0,0,0,0,0
2012-04-04,26.54,70.47,16.02,7.79,0,0,0,0,0,0,0,0,0,0
2012-04-05,27.86,61.58,35.07,3.9,0,0,0,0,0,0,0,0,0,0
2012-04-06,29.78,67.17,12.68,14.94,1,0,0,0,0,0,0,0,0,0
2012-04-07,25.27,64.25,39.58,13.84,0,0,0,0,0,0,1,0,0,0
2012-04-08,35.0,88.18,11.53,15.6,0,0,0,0,0,0,0,0,0,0
2012-04-09,30.11,72.78,23.31,8.3,0,0,0,0,1,0,1,0,0,0
2012-04-10,28.59,62.76,19.84,8.71,0,0,0,0,0,0,0,0,0,0
2012-04-11,24.99,79.22,16.68,10.75,0,0,1,0,1,1,0,0,0,0
2012-04-12,29.61,57.41,37.08,16.3,0,0,0,0,0,0,0,0,0,0
2012-04-13,23.37,87.02,32.87,9.36,0,0,0,1,1,0,0,1,0,0
2012-04-14,25.99,65.99,23.61,11.23,0,0,0,0,0,0,0,0,0,0
2012-04-15,28.85,57.56,16.32,0.0,0,0,0,0,0,0,0,0,0,0
2012-04-16,29.49,55.85,49.6,3.79,0,0,0,0,0,0,0,0,0,0
2012-04-17,30.79,71.68,11.5,19.45,0,0,0,0,0,1,0,0,0,0
2012-04-18,25.41,79.88,24.2,7.77,0,0,0,0,0,0,0,0,0,0
2012-04-19,15.26,61.67,21.95,3.55,0,0,0,0,0,0,0,0,0,0
2012-04-20,26.33,70.72,13.91,6.06,0,1,0,0,0,0,0,1,0,0
2012-04-21,35.0,56.86,17.13,16.22,0,0,0,0,0,0,0,0,0,0
2012-04-22,28.77,74.57,20.69,12.34,0,0,1,0,0,0,0,0,0,1
2012-04-23,26.61,60.32,63.59,8.87,0,0,0,0,0,0,0,0,0,0
2012-04-24,32.74,68.26,19.45,8.72,0,0,0,0,1,0,0,1,0,1
2012-04-25,35.0,64.18,18.48,3.58,0,0,0,0,0,0,0,0,0,0
2012-04-26,30.16,73.35,25.49,9.88,0,0,0,0,0,0,0,0,0,0
2012-04-27,29.43,75.82,61.7,4.94,0,0,0,0,0,0,0,0,0,0
2012-04-28,24.91,73.47,28.99,2.59,0,0,0,0,0,0,0,0,0,0
2012-04-29,18.4,79.96,13.96,4.54,0,0,0,0,0,0,0,0,0,0
2012-04-30,22.35,60.58,23.96,15.45,0,0,0,0,0,1,0,0,1,0
2012-05-01,32.49,60.2,28.34,7.29,0,0,0,0,0,0,0,0,0,0
2012-05-02,24.38,77.04,38.43,15.5,1,0,0,0,0,0,1,0,0,0
2012-05-03,21.58,61.57,16.36,4.69,0,0,0,0,0,0,0,0,0,0
2012-05-04,29.84,83.35,34.99,16.34,0,0,0,0,0,0,0,0,0,0
2012-05-05,21.22,64.88,22.01,11.1,0,0,1,0,0,0,0,1,0,0
2012-05-06,33.45,72.58,17.4,8.04,0,0,0,0,0,0,0,1,0,0
2012-05-07,30.34,83.94,24.57,11.12,0,0,0,0,0,0,0,0,0,0
2012-05-08,21.44,68.45,24.43,10.84,0,0,0,0,1,0,0,0,0,1
2012-05-09,33.73,57.51,21.3,9.41,0,0,0,0,0,0,0,0,0,0
2012-05-10,27.19,66.51,14.74,12.45,1,0,0,0,0,0,0,0,0,0
2012-05-11,26.13,76.23,12.4,9.42,0,0,0,0,0,0,0,0,0,0
2012-05-12,28.26,64.35,38.02,13.76,0,0,0,0,1,0,0,1,0,0
2012-05-13,26.26,79.74,23.24,13.46,0,0,0,0,0,0,0,0,0,0
2012-05-14,30.21,91.07,27.58,12.01,0,0,0,0,0,0,0,0,0,0
2012-05-15,27.69,68.61,20.41,9.91,0,0,0,0,0,0,0,0,0,0
2012-05-16,35.0,74.87,26.72,14.89,0,0,1,0,0,0,0,0,0,0
2012-05-17,21.35,76.9,25.49,10.03,0,0,0,0,0,0,0,0,0,0
2012-05-18,25.26,63.4,12.12,5.0,0,0,0,0,0,1,0,0,1,0
2012-05-19,30.3,76.42,15.68,3.54,0,0,1,0,0,0,0,1,1,0
2012-05-20,32.78,60.73,18.26,7.84,0,0,0,0,0,1,0,0,0,0
2012-05-21,25.24,70.47,18.63,15.06,0,0,0,0,0,0,0,0,0,0
2012-05-22,29.46,71.6,35.5,11.07,0,0,0,0,0,0,0,0,0,0
2012-05-23,24.51,69.05,19.78,5.02,0,0,0,0,0,0,0,0,0,0
2012-05-24,16.79,62.18,20.12,14.01,1,1,0,0,0,0,0,0,0,0
2012-05-25,32.47,68.26,16.44,8.77,0,0,0,0,0,0,0,0,0,0
2012-05-26,29.5,62.72,96.81,14.38,0,0,0,0,1,0,0,0,0,1
2012-05-27,29.27,70.15,19.07,14.51,0,0,0,0,0,0,0,0,0,0
2012-05-28,32.0,73.1,16.72,5.09,0,1,0,1,0,0,0,0,0,0
2012-05-29,31.55,69.4,13.56,15.13,0,0,0,0,0,0,0,0,0,0
2012-05-30,31.04,90.36,23.21,18.06,0,0,0,0,1,1,0,0,0,1
2012-05-31,25.41,65.97,48.87,9.68,0,0,0,0,0,0,0,0,0,0
