date,temperature,humidity,precipitation,wind_speed,country,disease_0,disease_1,disease_2,disease_3,disease_4,disease_5,disease_6,disease_7,disease_8,disease_9
2015-03-02,24.5725,28.583333333333332,0.0,2.7845833333333334,,0,0,0,0,0,0,0,0,0,0
2015-03-03,24.860416666666666,24.166666666666668,0.0,2.4491666666666667,,0,0,0,0,0,0,0,0,0,0
2015-03-04,24.052916666666665,28.25,0.0,2.1645833333333333,,0,0,0,0,0,0,0,0,0,0
2015-03-05,25.950416666666666,25.75,0.0,2.0116666666666667,,0,0,0,0,0,0,0,0,0,0
2015-03-06,26.321250000000003,30.125,0.0,1.96,,0,0,0,0,0,0,0,0,0,0
2015-03-07,25.885833333333334,32.791666666666664,0.0,2.72125,,0,0,0,0,0,0,0,0,0,0
2015-03-08,23.905,33.208333333333336,0.0,2.7425,,0,0,0,0,0,0,0,0,0,0
2015-03-09,24.144166666666667,35.333333333333336,0.0,2.2933333333333334,,0,0,0,0,0,0,0,0,0,0
2015-03-10,24.273750000000003,34.0,0.0,1.9441666666666668,,0,0,0,0,0,0,0,0,0,0
2015-03-11,24.822083333333335,36.166666666666664,0.0,2.0575,,0,0,0,0,0,0,0,0,0,0
2015-03-12,26.520416666666666,33.75,0.0,1.5520833333333333,,0,0,0,0,0,0,0,0,0,0
2015-03-13,26.579166666666666,29.416666666666668,0.0,2.2808333333333333,,0,0,0,0,0,0,0,0,0,0
2015-03-14,26.923333333333332,30.791666666666668,0.0,1.91,,0,0,0,0,0,0,0,0,0,0
2015-03-15,27.125833333333333,31.416666666666668,0.0,1.7220833333333332,,0,0,0,0,0,0,0,0,0,0
2015-03-16,27.751666666666665,33.458333333333336,0.0,1.1920833333333334,,0,0,0,0,0,0,0,0,0,0
2015-03-17,27.885,34.208333333333336,0.0,1.5316666666666665,,0,0,0,0,0,0,0,0,0,0
2015-03-18,27.81625,35.375,0.0,1.7295833333333333,,0,0,0,0,0,0,0,0,0,0
2015-03-19,28.080416666666665,32.791666666666664,0.0,1.9508333333333334,,0,0,0,0,0,0,0,0,0,0
2015-03-20,26.385416666666668,42.166666666666664,0.77,2.0929166666666665,,0,0,0,0,0,0,0,0,0,0
2015-03-21,23.669583333333335,61.208333333333336,5.8,1.4291666666666665,,0,0,0,0,0,0,0,0,0,0
2015-03-22,22.240416666666665,71.125,7.58,1.4804166666666667,,0,0,0,0,0,0,0,0,0,0
2015-03-23,21.179583333333333,78.625,19.91,1.4279166666666667,,0,0,0,0,0,0,0,0,0,0
2015-03-24,21.422083333333333,74.04166666666667,7.11,1.1970833333333333,,0,0,0,0,0,0,0,0,0,0
2015-03-25,24.150000000000002,63.583333333333336,0.22,1.1729166666666666,,0,0,0,0,0,0,0,0,0,0
2015-03-26,24.252916666666668,59.041666666666664,0.3,2.12125,,0,0,0,0,0,0,0,0,0,0
2015-03-27,25.27416666666667,50.416666666666664,0.0,2.4091666666666667,,0,0,0,0,0,0,0,0,0,0
2015-03-28,24.394166666666667,53.041666666666664,0.12,2.5954166666666665,,0,0,0,0,0,0,0,0,0,0
2015-03-29,24.51875,49.75,0.0,1.5991666666666668,,0,0,0,0,0,0,0,0,0,0
2015-03-30,25.851250000000004,45.708333333333336,0.0,1.7525000000000002,,0,0,0,0,0,0,0,0,0,0
2015-03-31,24.465833333333332,50.25,0.64,1.7866666666666664,,0,0,0,0,0,0,0,0,0,0
2015-04-01,26.362916666666667,40.625,0.0,2.5395833333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-02,26.565416666666664,32.125,0.0,2.486666666666667,,0,0,0,0,0,0,0,0,0,0
2015-04-03,26.476666666666663,39.125,0.0,2.5333333333333337,,0,0,0,0,0,0,0,0,0,0
2015-04-04,26.530416666666667,37.083333333333336,0.0,2.5854166666666667,,0,0,0,0,0,0,0,0,0,0
2015-04-05,26.036666666666665,34.166666666666664,0.0,2.35125,,0,0,0,0,0,0,0,0,0,0
2015-04-06,25.816666666666666,37.375,0.0,2.313333333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-07,27.079166666666666,35.0,0.0,2.8683333333333336,,0,0,0,0,0,0,0,0,0,0
2015-04-08,26.122500000000002,31.5,0.0,2.03,,0,0,0,0,0,0,0,0,0,0
2015-04-09,26.456666666666667,49.291666666666664,1.55,2.32875,,0,0,0,0,0,0,0,0,0,0
2015-04-10,27.050833333333333,42.458333333333336,0.0,2.0745833333333334,,0,0,0,0,0,0,0,0,0,0
2015-04-11,27.17625,37.541666666666664,0.0,2.51625,,0,0,0,0,0,0,0,0,0,0
2015-04-12,26.241666666666664,42.875,0.0,2.000833333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-13,23.362083333333334,57.083333333333336,0.26,2.97,,0,0,0,0,0,0,0,0,0,0
2015-04-14,24.078333333333333,55.875,1.26,1.7850000000000001,,0,0,0,0,0,0,0,0,0,0
2015-04-15,25.022916666666664,53.75,1.02,1.8724999999999998,,0,0,0,0,0,0,0,0,0,0
2015-04-16,23.884583333333335,41.833333333333336,0.0,2.9250000000000003,,0,0,0,0,0,0,0,0,0,0
2015-04-17,22.875833333333333,28.708333333333332,0.0,2.3225000000000002,,0,0,0,0,0,0,0,0,0,0
2015-04-18,23.746666666666666,28.0,0.0,2.0187500000000003,,0,0,0,0,0,0,0,0,0,0
2015-04-19,24.654583333333335,31.375,0.0,2.3829166666666666,,0,0,0,0,0,0,0,0,0,0
2015-04-20,25.469583333333333,30.791666666666668,0.0,2.6775,,0,0,0,0,0,0,0,0,0,0
2015-04-21,25.685833333333335,35.708333333333336,0.0,2.4120833333333334,,0,0,0,0,0,0,0,0,0,0
2015-04-22,25.090416666666666,31.541666666666668,0.0,2.3445833333333335,,0,0,0,0,0,0,0,0,0,0
2015-04-23,25.992500000000003,33.333333333333336,0.0,2.652083333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-24,26.48375,37.916666666666664,0.0,2.765833333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-25,26.39,44.25,0.0,2.830416666666667,,0,0,0,0,0,0,0,0,0,0
2015-04-26,26.2325,47.125,0.0,2.795,,0,0,0,0,0,0,0,0,0,0
2015-04-27,26.358333333333334,38.541666666666664,0.0,3.296666666666667,,0,0,0,0,0,0,0,0,0,0
2015-04-28,26.252916666666668,35.458333333333336,0.0,3.21875,,0,0,0,0,0,0,0,0,0,0
2015-04-29,25.476249999999997,34.041666666666664,0.0,3.028333333333333,,0,0,0,0,0,0,0,0,0,0
2015-04-30,25.682916666666667,33.541666666666664,0.0,2.34625,,0,0,0,0,0,0,0,0,0,0
2015-05-01,26.43041666666667,37.25,0.0,2.1129166666666666,,0,0,0,0,0,0,0,0,0,0
2015-05-02,26.110833333333332,43.375,0.0,2.04625,,0,0,0,0,0,0,0,0,0,0
2015-05-03,25.98125,50.375,1.24,3.3504166666666664,,0,0,0,0,0,0,0,0,0,0
2015-05-04,25.38083333333333,57.625,6.99,1.5991666666666668,,0,0,0,0,0,0,0,0,0,0
2015-05-05,22.634583333333335,73.45833333333333,7.62,1.3529166666666665,,0,0,0,0,0,0,0,0,0,0
2015-05-06,22.74791666666667,73.375,9.15,1.85375,,0,0,0,0,0,0,0,0,0,0
2015-05-07,23.324583333333333,67.20833333333333,0.23,1.7162499999999998,,0,0,0,0,0,0,0,0,0,0
2015-05-08,22.86708333333333,70.29166666666667,5.84,1.6858333333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-09,22.849999999999998,69.5,1.18,1.5366666666666668,,0,0,0,0,0,0,0,0,0,0
2015-05-10,23.593333333333334,64.04166666666667,0.0,2.01375,,0,0,0,0,0,0,0,0,0,0
2015-05-11,24.564999999999998,62.708333333333336,0.1,1.6754166666666668,,0,0,0,0,0,0,0,0,0,0
2015-05-12,25.685000000000002,55.833333333333336,0.22,1.95875,,0,0,0,0,0,0,0,0,0,0
2015-05-13,24.83666666666667,56.875,0.15,1.9820833333333334,,0,0,0,0,0,0,0,0,0,0
2015-05-14,26.465416666666666,49.291666666666664,0.0,2.6787500000000004,,0,0,0,0,0,0,0,0,0,0
2015-05-15,26.732083333333332,52.416666666666664,0.0,3.124166666666667,,0,0,0,0,0,0,0,0,0,0
2015-05-16,25.682083333333335,54.25,0.0,2.450833333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-17,26.439166666666665,45.458333333333336,0.0,2.4833333333333334,,0,0,0,0,0,0,0,0,0,0
2015-05-18,27.630416666666665,37.791666666666664,0.0,2.8579166666666667,,0,0,0,0,0,0,0,0,0,0
2015-05-19,26.105,50.166666666666664,0.95,2.2245833333333334,,0,0,0,0,0,0,0,0,0,0
2015-05-20,26.2925,48.583333333333336,0.0,2.549583333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-21,27.317083333333333,46.916666666666664,0.0,2.294583333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-22,26.627499999999998,47.833333333333336,0.0,2.8891666666666667,,0,0,0,0,0,0,0,0,0,0
2015-05-23,26.823333333333334,48.166666666666664,0.0,2.8754166666666667,,0,0,0,0,0,0,0,0,0,0
2015-05-24,26.356666666666666,46.208333333333336,0.0,3.045833333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-25,26.116666666666664,52.875,1.64,2.76625,,0,0,0,0,0,0,0,0,0,0
2015-05-26,24.493750000000002,62.041666666666664,13.620000000000001,2.46125,,0,0,0,0,0,0,0,0,0,0
2015-05-27,22.741249999999997,68.29166666666667,9.74,1.4883333333333333,,0,0,0,0,0,0,0,0,0,0
2015-05-28,22.58583333333333,75.29166666666667,16.4,2.1641666666666666,,0,0,0,0,0,0,0,0,0,0
2015-05-29,21.85166666666667,78.29166666666667,12.49,1.6958333333333335,,0,0,0,0,0,0,0,0,0,0
2015-05-30,23.097916666666666,72.375,8.24,2.026666666666667,,0,0,0,0,0,0,0,0,0,0
2015-05-31,24.409583333333334,64.45833333333333,0.15,2.0412500000000002,,0,0,0,0,0,0,0,0,0,0
2015-06-01,23.940416666666668,68.08333333333333,4.87,1.8816666666666666,,0,0,0,0,0,0,0,0,0,0
2015-06-02,22.024583333333336,72.125,0.39,1.7416666666666665,,0,0,0,0,0,0,0,0,0,0
2015-06-03,23.841250000000002,66.54166666666667,0.0,1.8970833333333335,,0,0,0,0,0,0,0,0,0,0
2015-06-04,25.230833333333333,59.333333333333336,0.0,2.09875,,0,0,0,0,0,0,0,0,0,0
2015-06-05,24.87875,62.375,0.13,2.21375,,0,0,0,0,0,0,0,0,0,0
2015-06-06,24.86916666666667,60.583333333333336,0.0,2.0587500000000003,,0,0,0,0,0,0,0,0,0,0
2015-06-07,25.001666666666665,58.291666666666664,0.0,2.1462499999999998,,0,0,0,0,0,0,0,0,0,0
2015-06-08,25.063333333333333,56.291666666666664,0.0,2.56625,,0,0,0,0,0,0,0,0,0,0
2015-06-09,25.660416666666666,53.333333333333336,1.58,3.04625,,0,0,0,0,0,0,0,0,0,0
2015-06-10,25.769583333333333,51.25,0.0,2.860416666666667,,0,0,0,0,0,0,0,0,0,0
2015-06-11,26.249583333333334,45.791666666666664,0.0,2.9929166666666664,,0,0,0,0,0,0,0,0,0,0
2015-06-12,26.262083333333333,45.125,0.0,2.723333333333333,,0,0,0,0,0,0,0,0,0,0
2015-06-13,26.532083333333333,46.791666666666664,0.0,2.4562500000000003,,0,0,0,0,0,0,0,0,0,0
2015-06-14,27.3225,41.041666666666664,0.0,2.57,,0,0,0,0,0,0,0,0,0,0
2015-06-15,27.219166666666666,43.625,0.4,2.2870833333333334,,0,0,0,0,0,0,0,0,0,0
2015-06-16,27.528750000000002,43.416666666666664,0.0,3.09125,,0,0,0,0,0,0,0,0,0,0
2015-06-17,27.732083333333335,42.333333333333336,0.0,3.0829166666666663,,0,0,0,0,0,0,0,0,0,0
2015-06-18,28.351249999999997,42.416666666666664,0.0,3.15625,,0,0,0,0,0,0,0,0,0,0
2015-06-19,28.191666666666666,41.458333333333336,0.0,3.60875,,0,0,0,0,0,0,0,0,0,0
2015-06-20,27.404583333333335,46.75,0.47,3.6833333333333336,,0,0,0,0,0,0,0,0,0,0
2015-06-21,27.35875,41.791666666666664,0.0,4.26625,,0,0,0,0,0,0,0,0,0,0
2015-06-22,25.816666666666666,52.958333333333336,7.01,3.6612500000000003,,0,0,0,0,0,0,0,0,0,0
2015-06-23,24.872083333333336,53.541666666666664,0.51,2.795833333333333,,0,0,0,0,0,0,0,0,0,0
2015-06-24,24.6425,56.333333333333336,0.5700000000000001,2.4833333333333334,,0,0,0,0,0,0,0,0,0,0
2015-06-25,24.830416666666665,55.541666666666664,1.3399999999999999,2.955833333333333,,0,0,0,0,0,0,0,0,0,0
2015-06-26,25.6075,52.958333333333336,2.5100000000000002,3.374166666666667,,0,0,0,0,0,0,0,0,0,0
2015-06-27,24.722916666666666,55.041666666666664,0.16,3.0241666666666664,,0,0,0,0,0,0,0,0,0,0
2015-06-28,23.007916666666663,63.833333333333336,2.64,1.5758333333333334,,0,0,0,0,0,0,0,0,0,0
2015-06-29,23.29625,69.625,4.66,1.75,,0,0,0,0,0,0,0,0,0,0
2015-06-30,24.557916666666667,60.291666666666664,2.2600000000000002,2.5158333333333336,,0,0,0,0,0,0,0,0,0,0
2015-07-01,24.982083333333335,46.666666666666664,0.0,3.2533333333333334,,0,0,0,0,0,0,0,0,0,0
2015-07-02,25.189999999999998,43.208333333333336,0.0,3.4654166666666666,,0,0,0,0,0,0,0,0,0,0
2015-07-03,26.54958333333333,42.125,0.0,3.4633333333333334,,0,0,0,0,0,0,0,0,0,0
2015-07-04,26.85291666666667,39.75,0.0,3.987916666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-05,26.309583333333332,37.375,0.0,3.54875,,0,0,0,0,0,0,0,0,0,0
2015-07-06,26.106666666666666,38.625,0.0,3.08375,,0,0,0,0,0,0,0,0,0,0
2015-07-07,27.199583333333333,37.166666666666664,0.0,3.2270833333333333,,0,0,0,0,0,0,0,0,0,0
2015-07-08,27.977500000000003,38.916666666666664,0.0,3.3504166666666664,,0,0,0,0,0,0,0,0,0,0
2015-07-09,27.53333333333333,40.625,0.69,4.601666666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-10,26.420416666666668,44.25,0.16,4.394166666666666,,0,0,0,0,0,0,0,0,0,0
2015-07-11,26.9875,40.208333333333336,0.0,3.9729166666666664,,0,0,0,0,0,0,0,0,0,0
2015-07-12,27.79375,37.625,0.0,3.7016666666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-13,26.243750000000002,48.375,2.33,3.5816666666666666,,0,0,0,0,0,0,0,0,0,0
2015-07-14,25.68541666666667,49.0,1.23,3.1620833333333334,,0,0,0,0,0,0,0,0,0,0
2015-07-15,25.815833333333334,44.5,0.16,3.1300000000000003,,0,0,0,0,0,0,0,0,0,0
2015-07-16,26.769166666666667,43.958333333333336,0.0,2.8645833333333335,,0,0,0,0,0,0,0,0,0,0
2015-07-17,28.55666666666667,39.666666666666664,0.0,2.8083333333333336,,0,0,0,0,0,0,0,0,0,0
2015-07-18,26.928749999999997,48.25,1.37,3.498333333333333,,0,0,0,0,0,0,0,0,0,0
2015-07-19,26.97458333333333,44.583333333333336,0.0,4.64125,,0,0,0,0,0,0,0,0,0,0
2015-07-20,25.822916666666668,45.166666666666664,1.15,4.1258333333333335,,0,0,0,0,0,0,0,0,0,0
2015-07-21,26.262083333333333,44.541666666666664,0.58,3.579166666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-22,26.3575,44.666666666666664,0.13,3.5216666666666665,,0,0,0,0,0,0,0,0,0,0
2015-07-23,26.048333333333332,46.083333333333336,0.0,3.1079166666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-24,26.847083333333334,41.125,0.0,3.11,,0,0,0,0,0,0,0,0,0,0
2015-07-25,27.538750000000004,37.666666666666664,0.0,2.8366666666666664,,0,0,0,0,0,0,0,0,0,0
2015-07-26,28.06125,36.041666666666664,0.0,2.31125,,0,0,0,0,0,0,0,0,0,0
2015-07-27,27.535,41.625,0.68,3.5316666666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-28,27.029583333333335,42.416666666666664,1.06,3.9445833333333336,,0,0,0,0,0,0,0,0,0,0
2015-07-29,27.08,42.083333333333336,0.0,4.451666666666667,,0,0,0,0,0,0,0,0,0,0
2015-07-30,25.893333333333334,48.875,0.7899999999999999,3.6983333333333337,,0,0,0,0,0,0,0,0,0,0
2015-07-31,25.346249999999998,51.208333333333336,0.67,3.75,,0,0,0,0,0,0,0,0,0,0
2015-08-01,24.83875,52.291666666666664,2.38,4.2225,,0,0,0,0,0,0,0,0,0,0
2015-08-02,23.988333333333333,58.333333333333336,1.8199999999999998,3.3033333333333332,,0,0,0,0,0,0,0,0,0,0
2015-08-03,23.807083333333335,56.833333333333336,1.8,2.638333333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-04,24.78708333333333,49.583333333333336,0.0,4.7525,,0,0,0,0,0,0,0,0,0,0
2015-08-05,23.8625,55.25,2.68,3.674583333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-06,24.577083333333334,57.583333333333336,4.65,2.68875,,0,0,0,0,0,0,0,0,0,0
2015-08-07,23.22791666666667,64.54166666666667,1.37,2.6283333333333334,,0,0,0,0,0,0,0,0,0,0
2015-08-08,24.43375,50.291666666666664,0.0,3.6750000000000003,,0,0,0,0,0,0,0,0,0,0
2015-08-09,25.27333333333333,45.916666666666664,0.0,3.36,,0,0,0,0,0,0,0,0,0,0
2015-08-10,25.45375,49.583333333333336,1.63,1.9283333333333335,,0,0,0,0,0,0,0,0,0,0
2015-08-11,25.192083333333333,52.791666666666664,0.6900000000000001,2.097916666666667,,0,0,0,0,0,0,0,0,0,0
2015-08-12,26.250416666666666,45.583333333333336,0.68,3.0574999999999997,,0,0,0,0,0,0,0,0,0,0
2015-08-13,26.11583333333333,48.291666666666664,1.43,3.9970833333333338,,0,0,0,0,0,0,0,0,0,0
2015-08-14,25.993750000000002,47.0,0.6699999999999999,3.035,,0,0,0,0,0,0,0,0,0,0
2015-08-15,25.087500000000002,53.916666666666664,1.91,3.252083333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-16,25.462500000000002,53.625,1.55,2.70875,,0,0,0,0,0,0,0,0,0,0
2015-08-17,25.105416666666667,52.0,0.33,3.2933333333333334,,0,0,0,0,0,0,0,0,0,0
2015-08-18,25.505,51.666666666666664,0.0,3.3295833333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-19,25.344583333333333,54.833333333333336,2.09,2.7550000000000003,,0,0,0,0,0,0,0,0,0,0
2015-08-20,25.060833333333335,53.791666666666664,0.0,2.3233333333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-21,25.501666666666665,47.375,0.0,3.8779166666666662,,0,0,0,0,0,0,0,0,0,0
2015-08-22,25.771666666666665,44.583333333333336,0.0,3.5820833333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-23,26.141666666666666,42.416666666666664,0.0,3.7358333333333333,,0,0,0,0,0,0,0,0,0,0
2015-08-24,26.29875,41.625,0.0,3.2816666666666667,,0,0,0,0,0,0,0,0,0,0
2015-08-25,24.911666666666665,47.166666666666664,0.21,3.59,,0,0,0,0,0,0,0,0,0,0
2015-08-26,25.78708333333333,44.5,0.0,3.9958333333333336,,0,0,0,0,0,0,0,0,0,0
2015-08-27,25.39708333333333,42.75,0.0,1.9745833333333334,,0,0,0,0,0,0,0,0,0,0
2015-08-28,25.881249999999998,39.875,0.82,1.3074999999999999,,0,0,0,0,0,0,0,0,0,0
2015-08-29,24.14375,57.75,2.0,2.3141666666666665,,0,0,0,0,0,0,0,0,0,0
2015-08-30,24.759583333333335,57.541666666666664,2.56,2.7308333333333334,,0,0,0,0,0,0,0,0,0,0
2015-08-31,24.195833333333336,55.083333333333336,0.56,2.13125,,0,0,0,0,0,0,0,0,0,0
2015-09-01,24.79625,46.583333333333336,0.0,2.2325,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-02,25.76375,47.208333333333336,0.0,2.089583333333333,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-03,26.23375,45.791666666666664,1.4200000000000002,2.2183333333333333,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-04,26.60625,43.5,1.47,2.34625,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-05,24.84875,52.458333333333336,2.45,2.6374999999999997,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-06,25.900833333333335,47.833333333333336,0.64,2.44125,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-07,25.69333333333333,44.958333333333336,0.0,2.447083333333333,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-08,25.55458333333333,44.708333333333336,0.0,3.4,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-09,26.685000000000002,35.791666666666664,0.0,2.6304166666666666,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-10,26.72875,35.5,0.0,1.47375,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-11,26.7825,37.083333333333336,0.11,1.8525,Ethiopia,1,0,0,0,0,0,0,0,0,0
2015-09-12,25.557916666666667,51.833333333333336,1.74,1.2895833333333333,Ethiopia,1,0,0,0,0,0,0,0,0,0
